Category,Cost,Notes
Initial Setup Cost,50000,"Includes AI integration, laundry machines, and interior setup"
Monthly Maintenance,1000,Includes regular upkeep of machines and premises
"Utilities (Electricity, Water)",600,Based on average utility costs for similar businesses
AI System Maintenance,800,Ongoing maintenance for AI systems
Marketing Budget,500,Advertising to attract customers
Projected Monthly Revenue,10000,Revenue from customers using laundry services and participating in games
Total Monthly Costs,2900,
Projected Annual Revenue,120000,
Annual Maintenance Costs,34800,
Net Annual Profit,85200,
